course_link,course_name,course_rating,ratings
https://www.coursera.org/learn/machine-learning,,4.9,"91,456 ratings"
https://www.coursera.org/learn/learning-how-to-learn,,4.8,"49,925 ratings"
https://www.coursera.org/learn/python,,4.7,"5,064 ratings"
https://www.coursera.org/learn/negotiation-skills,,4.7,"3,750 ratings"
https://www.coursera.org/learn/learn-chinese,Contabilidad para no contadores,4.7,"1,120 ratings"
https://www.coursera.org/learn/r-programming,,4.9,"91,456 ratings"
https://www.coursera.org/learn/contabilidad,,4.9,"1,334 ratings"
https://www.coursera.org/learn/neural-networks-deep-learning,,4.7,"5,064 ratings"
https://www.coursera.org/learn/learning-how-to-learn,,4.6,"1,457 ratings"
https://www.coursera.org/learn/machine-learning,,4.9,"4,494 ratings"
https://www.coursera.org/learn/the-science-of-well-being,,4.7,"1,957 ratings"
https://www.coursera.org/learn/negotiation-skills,,4.7,"1,745 ratings"
https://www.coursera.org/learn/financial-engineering-1,,4.8,"2,083 ratings"
https://www.coursera.org/learn/algorithms-part1,,4.8,"2,038 ratings"
https://www.coursera.org/learn/photography,,4.7,"2,359 ratings"
