course_link,course_name,course_rating,ratings
https://www.coursera.org/learn/data-scientists-tools?specialization=jhu-data-science,The Data Scientist’s Toolbox,4.5,"17,683 ratings"
https://www.coursera.org/learn/r-programming?specialization=jhu-data-science,R Programming,4.6,"13,093 ratings"
https://www.coursera.org/learn/data-cleaning?specialization=jhu-data-science,Getting and Cleaning Data,4.6,"5,586 ratings"
https://www.coursera.org/learn/exploratory-data-analysis?specialization=jhu-data-science,Exploratory Data Analysis,4.7,"4,250 ratings"
https://www.coursera.org/learn/reproducible-research,Reproducible Research,4.5,"2,966 ratings"
https://www.coursera.org/learn/statistical-inference,Statistical Inference,4.2,"2,973 ratings"
https://www.coursera.org/learn/regression-models,Regression Models,4.4,"2,375 ratings"
https://www.coursera.org/learn/practical-machine-learning,Practical Machine Learning,4.5,"2,298 ratings"
https://www.coursera.org/learn/data-products,Developing Data Products,4.5,"1,593 ratings"
https://www.coursera.org/learn/data-science-project,Data Science Capstone,4.5,770 ratings
https://www.coursera.org/learn/neural-networks-deep-learning?specialization=deep-learning,Neural Networks and Deep Learning,4.9,"44,406 ratings"
https://www.coursera.org/learn/deep-neural-network?specialization=deep-learning,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",4.9,"28,043 ratings"
https://www.coursera.org/learn/machine-learning-projects?specialization=deep-learning,Structuring Machine Learning Projects,4.8,"22,977 ratings"
https://www.coursera.org/learn/convolutional-neural-networks?specialization=deep-learning,Convolutional Neural Networks,4.8,"17,463 ratings"
https://www.coursera.org/learn/nlp-sequence-models,Sequence Models,4.8,"10,988 ratings"
https://www.coursera.org/learn/python?specialization=python,Programming for Everybody (Getting Started with Python),4.8,"49,925 ratings"
https://www.coursera.org/learn/python-data?specialization=python,Python Data Structures,4.9,"27,140 ratings"
https://www.coursera.org/learn/python-network-data?specialization=python,Using Python to Access Web Data,4.8,"17,262 ratings"
https://www.coursera.org/learn/python-databases?specialization=python,Using Databases with Python,4.8,"10,659 ratings"
https://www.coursera.org/learn/python-data-visualization,"Capstone: Retrieving, Processing, and Visualizing Data with Python",4.6,"3,771 ratings"
