course_link,course_name,Description_1,Description_2
https://in.udacity.com/course/vr-foundations-nanodegree--nd105,VR Foundations,LEARN THE BASICS OF VR WITH UNITY,"Learn the Unity game engine, C#, and Google Cardboard, and gain foundational VR knowledge and skills."
https://in.udacity.com/course/vr-mobile-360-nanodegree--nd106,VR Mobile 360,BECOME A VR DEVELOPER WITH MOBILE 360,"Combine a specific focus on Mobile 360 Media with learning core Unity game engine and C# skills, and advance your VR expertise."
https://in.udacity.com/course/vr-high-immersion-nanodegree--nd107,VR High-Immersion,BECOME A VR DEVELOPER WITH HIGH IMMERSION,"Learn the Unity game engine, C#, and High-Immersion to master VR Development."
https://in.udacity.com/course/google-analytics-nanodegree--nd253,Google Analytics,DEVELOP GOOGLE ANALYTICS EXPERTISE,"Through world-class instruction and hands-on training, gain in-depth knowledge of the leading web analytics tool. Learn to build dashboards, understand user behavior, evaluate campaigns, and drive growth."
https://in.udacity.com/course/ai-for-trading--nd880,Artificial Intelligence For Trading,NA,"Complete real-world projects designed by industry experts, covering topics from asset management to trading signal generation. Master AI algorithms for trading, and build your career-ready portfolio."
https://in.udacity.com/course/python-foundation-nanodegree--nd002-inpy,Python Foundation,NA,"Learn how to program in Python and get ready for a career in data science, machine learning, deep learning, and artificial intelligence."
https://in.udacity.com/course/data-analyst-nanodegree--nd002,Data Analyst,NA,"Use Python, SQL, and statistics to uncover insights, communicate critical findings, and create data-driven solutions"
https://in.udacity.com/course/machine-learning-engineer-nanodegree--nd009-infn,Machine Learning Foundation,NA,"Udacity's Machine Learning Foundation Nanodegree is your first step towards careers in Data Analysis, Data Science, Machine Learning, AI, and more! This Nanodegree helps you learn Python and Statistics. It consists of 4 projects and is perfect for beginners in the field of data."
https://in.udacity.com/course/ai-programming-python-nanodegree--nd089,Learn all the essentials for AI programming with Python,NA,"Learn Python, NumPy, Pandas, Matplotlib, PyTorch, Calculus, and Linear Algebra—the foundations for building your own neural network."
https://in.udacity.com/course/android-developer-nanodegree-by-google--nd801,Learn all the essentials for AI programming with Python,NA,"Start your career as an Android developer. Learn best practices for mobile development, build a portfolio of apps, and publish your own app to Google Play."
